"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37918","createTestSuite","Surefire suite","Tue Feb 10 15:41:11 UTC 2026","passed","Tue Feb 10 15:41:49 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка успешного удаления проекта и его недоступности после удаления.","797","Удаление проекта","Surefire suite","Tue Feb 10 15:38:27 UTC 2026","passed","Tue Feb 10 15:38:28 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка позитивного сценария создания проекта","24654","Создание проекта и его удаление","Surefire suite","Tue Feb 10 15:40:30 UTC 2026","passed","Tue Feb 10 15:40:55 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","947","Обновление тест-кейса: PATCH, поле type","Surefire suite","Tue Feb 10 15:38:24 UTC 2026","passed","Tue Feb 10 15:38:25 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","1101","Удаление тест-кейса","Surefire suite","Tue Feb 10 15:38:15 UTC 2026","passed","Tue Feb 10 15:38:17 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка позитивного сценария добавления тест-кейса в проект.","1359","Создание тест-кейса и получение его по id","Surefire suite","Tue Feb 10 15:38:14 UTC 2026","passed","Tue Feb 10 15:38:15 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного создания проекта и возможности получить его по коду.","549","Создание проекта","Surefire suite","Tue Feb 10 15:38:25 UTC 2026","passed","Tue Feb 10 15:38:26 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1379","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Tue Feb 10 15:38:22 UTC 2026","passed","Tue Feb 10 15:38:24 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","27452","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 15:39:07 UTC 2026","passed","Tue Feb 10 15:39:34 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","129","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 15:38:30 UTC 2026","passed","Tue Feb 10 15:38:30 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","5023","Фильтрация тест-кейсов по типу ","Surefire suite","Tue Feb 10 15:38:17 UTC 2026","passed","Tue Feb 10 15:38:22 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","35971","Создание тест-кейса через UI","Surefire suite","Tue Feb 10 15:38:30 UTC 2026","passed","Tue Feb 10 15:39:06 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","16404","Создание проекта без названия: проверка ошибки","Surefire suite","Tue Feb 10 15:40:55 UTC 2026","passed","Tue Feb 10 15:41:11 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","582","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Tue Feb 10 15:38:29 UTC 2026","passed","Tue Feb 10 15:38:29 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","33571","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 15:39:56 UTC 2026","passed","Tue Feb 10 15:40:29 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","144","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 15:38:30 UTC 2026","passed","Tue Feb 10 15:38:30 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","20620","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 15:39:35 UTC 2026","failed","Tue Feb 10 15:39:55 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","532","Создание проекта: проверка полей title и code","Surefire suite","Tue Feb 10 15:38:26 UTC 2026","passed","Tue Feb 10 15:38:27 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
