"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1042","Удаление тест-кейса","Surefire suite","Fri Jan 16 18:20:09 UTC 2026","passed","Fri Jan 16 18:20:10 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"","64771","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 16 18:22:40 UTC 2026","failed","Fri Jan 16 18:23:45 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","69146","createTestSuite","Surefire suite","Fri Jan 16 18:28:15 UTC 2026","failed","Fri Jan 16 18:29:24 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","478","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Jan 16 18:20:20 UTC 2026","passed","Fri Jan 16 18:20:20 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка успешного создания проекта и возможности получить его по коду.","490","Создание проекта","Surefire suite","Fri Jan 16 18:20:17 UTC 2026","passed","Fri Jan 16 18:20:18 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка позитивного сценария создания проекта","68604","Создание проекта и его удаление","Surefire suite","Fri Jan 16 18:27:01 UTC 2026","failed","Fri Jan 16 18:28:10 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","64861","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 16 18:21:35 UTC 2026","failed","Fri Jan 16 18:22:40 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария добавления тест-кейса в проект.","1223","Создание тест-кейса и получение его по id","Surefire suite","Fri Jan 16 18:20:07 UTC 2026","passed","Fri Jan 16 18:20:08 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","72809","Создание тест-кейса через UI","Surefire suite","Fri Jan 16 18:20:21 UTC 2026","failed","Fri Jan 16 18:21:34 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","978","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Jan 16 18:20:16 UTC 2026","passed","Fri Jan 16 18:20:17 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","4163","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Jan 16 18:20:10 UTC 2026","passed","Fri Jan 16 18:20:14 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","95","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Jan 16 18:20:21 UTC 2026","passed","Fri Jan 16 18:20:21 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка успешного удаления проекта и его недоступности после удаления.","582","Удаление проекта","Surefire suite","Fri Jan 16 18:20:19 UTC 2026","passed","Fri Jan 16 18:20:20 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","64860","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 16 18:23:45 UTC 2026","failed","Fri Jan 16 18:24:50 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1245","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Jan 16 18:20:14 UTC 2026","passed","Fri Jan 16 18:20:16 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","4398","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Jan 16 18:28:10 UTC 2026","passed","Fri Jan 16 18:28:15 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка корректности данных, возвращаемых при создании проекта","441","Создание проекта: проверка полей title и code","Surefire suite","Fri Jan 16 18:20:18 UTC 2026","passed","Fri Jan 16 18:20:19 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","109","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Jan 16 18:20:21 UTC 2026","passed","Fri Jan 16 18:20:21 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
