"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40532","Создание тест-кейса с разными входными данными","Surefire suite","Fri May 08 19:08:13 UTC 2026","passed","Fri May 08 19:08:54 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","29176","createTestSuite","Surefire suite","Fri May 08 19:09:37 UTC 2026","passed","Fri May 08 19:10:06 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","629","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri May 08 19:10:26 UTC 2026","passed","Fri May 08 19:10:26 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка позитивного сценария добавления тест-кейса в проект.","1028","Создание тест-кейса и получение его по id","Surefire suite","Fri May 08 19:10:07 UTC 2026","passed","Fri May 08 19:10:08 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","186","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri May 08 19:10:28 UTC 2026","passed","Fri May 08 19:10:28 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","131523","Создание тест-кейса через UI","Surefire suite","Fri May 08 19:03:37 UTC 2026","failed","Fri May 08 19:05:49 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","1301","Удаление тест-кейса","Surefire suite","Fri May 08 19:10:08 UTC 2026","passed","Fri May 08 19:10:10 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка успешного создания проекта и возможности получить его по коду.","668","Создание проекта","Surefire suite","Fri May 08 19:10:22 UTC 2026","passed","Fri May 08 19:10:22 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка корректности данных, возвращаемых при создании проекта","710","Создание проекта: проверка полей title и code","Surefire suite","Fri May 08 19:10:23 UTC 2026","passed","Fri May 08 19:10:24 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка успешного удаления проекта и его недоступности после удаления.","902","Удаление проекта","Surefire suite","Fri May 08 19:10:24 UTC 2026","passed","Fri May 08 19:10:25 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","39547","Создание тест-кейса с разными входными данными","Surefire suite","Fri May 08 19:07:33 UTC 2026","passed","Fri May 08 19:08:13 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1982","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri May 08 19:10:17 UTC 2026","passed","Fri May 08 19:10:19 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","12572","Создание проекта без названия: проверка ошибки","Surefire suite","Fri May 08 19:09:24 UTC 2026","passed","Fri May 08 19:09:37 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","212","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri May 08 19:10:27 UTC 2026","passed","Fri May 08 19:10:27 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1192","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri May 08 19:10:20 UTC 2026","passed","Fri May 08 19:10:21 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка позитивного сценария создания проекта","29038","Создание проекта и его удаление","Surefire suite","Fri May 08 19:08:55 UTC 2026","passed","Fri May 08 19:09:24 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","40721","Создание тест-кейса с разными входными данными","Surefire suite","Fri May 08 19:06:52 UTC 2026","passed","Fri May 08 19:07:33 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","6697","Фильтрация тест-кейсов по типу ","Surefire suite","Fri May 08 19:10:10 UTC 2026","passed","Fri May 08 19:10:17 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
