"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9429","Удаление тест-кейса","Surefire suite","Fri Mar 06 18:37:05 UTC 2026","passed","Fri Mar 06 18:37:14 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"","39319","Создание тест-кейса с разными входными данными","Surefire suite","Fri Mar 06 18:33:11 UTC 2026","passed","Fri Mar 06 18:33:51 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","34429","Создание проекта и его удаление","Surefire suite","Fri Mar 06 18:34:32 UTC 2026","passed","Fri Mar 06 18:35:06 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","746","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Mar 06 18:37:34 UTC 2026","passed","Fri Mar 06 18:37:34 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","38793","Создание тест-кейса через UI","Surefire suite","Fri Mar 06 18:31:50 UTC 2026","passed","Fri Mar 06 18:32:28 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","41342","Создание тест-кейса с разными входными данными","Surefire suite","Fri Mar 06 18:32:29 UTC 2026","passed","Fri Mar 06 18:33:11 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","39655","Создание тест-кейса с разными входными данными","Surefire suite","Fri Mar 06 18:33:51 UTC 2026","passed","Fri Mar 06 18:34:31 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария добавления тест-кейса в проект.","10047","Создание тест-кейса и получение его по id","Surefire suite","Fri Mar 06 18:36:54 UTC 2026","passed","Fri Mar 06 18:37:04 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","1026","Удаление проекта","Surefire suite","Fri Mar 06 18:37:32 UTC 2026","passed","Fri Mar 06 18:37:33 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка успешного создания проекта и возможности получить его по коду.","820","Создание проекта","Surefire suite","Fri Mar 06 18:37:29 UTC 2026","passed","Fri Mar 06 18:37:30 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","26857","createTestSuite","Surefire suite","Fri Mar 06 18:35:21 UTC 2026","passed","Fri Mar 06 18:35:47 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка корректности данных, возвращаемых при создании проекта","771","Создание проекта: проверка полей title и code","Surefire suite","Fri Mar 06 18:37:31 UTC 2026","passed","Fri Mar 06 18:37:31 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","253","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Mar 06 18:37:35 UTC 2026","passed","Fri Mar 06 18:37:36 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","251","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Mar 06 18:37:36 UTC 2026","passed","Fri Mar 06 18:37:36 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1589","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Mar 06 18:37:26 UTC 2026","passed","Fri Mar 06 18:37:28 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2137","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Mar 06 18:37:24 UTC 2026","passed","Fri Mar 06 18:37:26 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","13697","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Mar 06 18:35:06 UTC 2026","passed","Fri Mar 06 18:35:20 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","8447","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Mar 06 18:37:15 UTC 2026","passed","Fri Mar 06 18:37:23 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
