"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Проверка базового сценария создания удаления нового проекта","782","Создание и удаление проекта","Surefire suite","Fri Nov 14 18:17:28 UTC 2025","passed","Fri Nov 14 18:17:29 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","362","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Fri Nov 14 18:17:29 UTC 2025","passed","Fri Nov 14 18:17:30 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"","7440","Создание тест-кейса с разными входными данными","Surefire suite","Fri Nov 14 18:18:08 UTC 2025","failed","Fri Nov 14 18:18:16 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","963","Создание проекта: проверка корректности полей title и code","Surefire suite","Fri Nov 14 18:17:30 UTC 2025","passed","Fri Nov 14 18:17:31 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","23075","Создание тест-кейса через UI","Surefire suite","Fri Nov 14 18:17:31 UTC 2025","failed","Fri Nov 14 18:17:54 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка позитивного сценария создания проекта","9151","Создание проекта и его удаление","Surefire suite","Fri Nov 14 18:18:29 UTC 2025","passed","Fri Nov 14 18:18:38 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","11523","Создание тест-кейса с разными входными данными","Surefire suite","Fri Nov 14 18:18:16 UTC 2025","failed","Fri Nov 14 18:18:28 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","92701","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Nov 14 18:18:38 UTC 2025","failed","Fri Nov 14 18:20:11 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка позитивного сценария добавления тест-кейса в проект.","1026","Добавление нового тест-кейса в существующий проект","Surefire suite","Fri Nov 14 18:17:26 UTC 2025","passed","Fri Nov 14 18:17:27 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","11889","Создание тест-кейса с разными входными данными","Surefire suite","Fri Nov 14 18:17:55 UTC 2025","failed","Fri Nov 14 18:18:07 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
