"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92046","Создание проекта без названия: проверка ошибки","Surefire suite","Thu Dec 18 09:20:52 UTC 2025","failed","Thu Dec 18 09:22:24 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","13838","createTestSuite","Surefire suite","Thu Dec 18 09:22:25 UTC 2025","failed","Thu Dec 18 09:22:39 UTC 2025","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","29905","Создание тест-кейса через UI","Surefire suite","Thu Dec 18 09:19:46 UTC 2025","failed","Thu Dec 18 09:20:16 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","7150","Создание тест-кейса с разными входными данными","Surefire suite","Thu Dec 18 09:20:29 UTC 2025","failed","Thu Dec 18 09:20:36 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
" Проверка базового сценария создания удаления нового проекта","585","Создание и удаление проекта","Surefire suite","Thu Dec 18 09:19:43 UTC 2025","passed","Thu Dec 18 09:19:44 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","315","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Thu Dec 18 09:19:45 UTC 2025","passed","Thu Dec 18 09:19:45 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"Проверка позитивного сценария добавления тест-кейса в проект.","866","Добавление нового тест-кейса в существующий проект","Surefire suite","Thu Dec 18 09:19:41 UTC 2025","passed","Thu Dec 18 09:19:42 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","11818","Создание тест-кейса с разными входными данными","Surefire suite","Thu Dec 18 09:20:17 UTC 2025","failed","Thu Dec 18 09:20:29 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","731","Создание проекта: проверка корректности полей title и code","Surefire suite","Thu Dec 18 09:19:45 UTC 2025","passed","Thu Dec 18 09:19:46 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"Проверка позитивного сценария создания проекта","7941","Создание проекта и его удаление","Surefire suite","Thu Dec 18 09:20:44 UTC 2025","passed","Thu Dec 18 09:20:52 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","6686","Создание тест-кейса с разными входными данными","Surefire suite","Thu Dec 18 09:20:37 UTC 2025","failed","Thu Dec 18 09:20:43 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
