"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 19 10:18:55 UTC 2025","broken","Fri Dec 19 10:18:56 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
" Проверка базового сценария создания удаления нового проекта","842","Создание и удаление проекта","Surefire suite","Fri Dec 19 10:18:47 UTC 2025","passed","Fri Dec 19 10:18:48 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","413","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Fri Dec 19 10:18:49 UTC 2025","passed","Fri Dec 19 10:18:49 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"Проверка корректности данных, возвращаемых при создании проекта","1011","Создание проекта: проверка корректности полей title и code","Surefire suite","Fri Dec 19 10:18:50 UTC 2025","passed","Fri Dec 19 10:18:51 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"","205","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 19 10:18:56 UTC 2025","broken","Fri Dec 19 10:18:57 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","197","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Dec 19 10:18:58 UTC 2025","broken","Fri Dec 19 10:18:58 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка позитивного сценария создания проекта","199","Создание проекта и его удаление","Surefire suite","Fri Dec 19 10:18:58 UTC 2025","broken","Fri Dec 19 10:18:58 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","3998","Создание тест-кейса через UI","Surefire suite","Fri Dec 19 10:18:51 UTC 2025","broken","Fri Dec 19 10:18:55 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","211","createTestSuite","Surefire suite","Fri Dec 19 10:18:59 UTC 2025","broken","Fri Dec 19 10:18:59 UTC 2025","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","197","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 19 10:18:56 UTC 2025","broken","Fri Dec 19 10:18:56 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария добавления тест-кейса в проект.","1039","Добавление нового тест-кейса в существующий проект","Surefire suite","Fri Dec 19 10:18:45 UTC 2025","passed","Fri Dec 19 10:18:47 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
