"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27026","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","1505","Удаление тест-кейса","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","721","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка позитивного сценария создания проекта","25916","Создание проекта и его удаление","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","16572","createTestSuite","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка позитивного сценария добавления тест-кейса в проект.","1097","Создание тест-кейса и получение его по id","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"","26693","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","815","Создание проекта","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2087","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","31499","Создание проекта без названия: проверка ошибки","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1441","Обновление тест-кейса: PATCH, поле type","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка корректности данных, возвращаемых при создании проекта","736","Создание проекта: проверка полей title и code","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","249","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка успешного удаления проекта и его недоступности после удаления.","1012","Удаление проекта","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","252","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","17047","Создание тест-кейса через UI","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","7693","Фильтрация тест-кейсов по типу ","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"","25656","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
