"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка позитивного сценария добавления тест-кейса в проект.","760","Добавление нового тест-кейса в существующий проект","Surefire suite","Fri Jan 02 18:18:18 UTC 2026","passed","Fri Jan 02 18:18:19 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","10692","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 02 18:19:08 UTC 2026","passed","Fri Jan 02 18:19:19 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
" Проверка сценария создание и удаление нового проекта","1168","Создание и удаление проекта","Surefire suite","Fri Jan 02 18:18:20 UTC 2026","passed","Fri Jan 02 18:18:21 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"","8799","createTestSuite","Surefire suite","Fri Jan 02 18:20:59 UTC 2026","passed","Fri Jan 02 18:21:08 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","22259","Создание тест-кейса через UI","Surefire suite","Fri Jan 02 18:18:24 UTC 2026","passed","Fri Jan 02 18:18:46 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","91886","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Jan 02 18:19:27 UTC 2026","failed","Fri Jan 02 18:20:58 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","10610","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 02 18:18:46 UTC 2026","passed","Fri Jan 02 18:18:57 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","10372","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 02 18:18:57 UTC 2026","passed","Fri Jan 02 18:19:08 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","7282","Создание проекта и его удаление","Surefire suite","Fri Jan 02 18:19:19 UTC 2026","passed","Fri Jan 02 18:19:26 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","158","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Fri Jan 02 18:18:22 UTC 2026","passed","Fri Jan 02 18:18:22 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"Проверка корректности данных, возвращаемых при создании проекта","704","Создание проекта: проверка корректности полей title и code","Surefire suite","Fri Jan 02 18:18:23 UTC 2026","passed","Fri Jan 02 18:18:23 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","696","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Jan 02 18:18:21 UTC 2026","passed","Fri Jan 02 18:18:22 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithDuplicateCode"
