"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28619","createTestSuite","Surefire suite","Fri Apr 24 18:42:36 UTC 2026","passed","Fri Apr 24 18:43:05 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","40981","Создание тест-кейса с разными входными данными","Surefire suite","Fri Apr 24 18:41:09 UTC 2026","passed","Fri Apr 24 18:41:50 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","706","Создание проекта","Surefire suite","Fri Apr 24 18:43:21 UTC 2026","passed","Fri Apr 24 18:43:21 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","43610","Создание тест-кейса с разными входными данными","Surefire suite","Fri Apr 24 18:40:24 UTC 2026","passed","Fri Apr 24 18:41:08 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","198","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Apr 24 18:43:27 UTC 2026","passed","Fri Apr 24 18:43:27 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","1406","Удаление тест-кейса","Surefire suite","Fri Apr 24 18:43:07 UTC 2026","passed","Fri Apr 24 18:43:08 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1297","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Apr 24 18:43:19 UTC 2026","passed","Fri Apr 24 18:43:20 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка позитивного сценария добавления тест-кейса в проект.","1113","Создание тест-кейса и получение его по id","Surefire suite","Fri Apr 24 18:43:05 UTC 2026","passed","Fri Apr 24 18:43:07 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","919","Удаление проекта","Surefire suite","Fri Apr 24 18:43:23 UTC 2026","passed","Fri Apr 24 18:43:24 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка позитивного сценария создания проекта","30109","Создание проекта и его удаление","Surefire suite","Fri Apr 24 18:41:51 UTC 2026","passed","Fri Apr 24 18:42:21 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","190","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Apr 24 18:43:26 UTC 2026","passed","Fri Apr 24 18:43:26 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","6915","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Apr 24 18:43:09 UTC 2026","passed","Fri Apr 24 18:43:16 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1954","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Apr 24 18:43:16 UTC 2026","passed","Fri Apr 24 18:43:18 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","14632","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Apr 24 18:42:21 UTC 2026","passed","Fri Apr 24 18:42:36 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","135112","Создание тест-кейса через UI","Surefire suite","Fri Apr 24 18:37:20 UTC 2026","failed","Fri Apr 24 18:39:35 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","47855","Создание тест-кейса с разными входными данными","Surefire suite","Fri Apr 24 18:39:36 UTC 2026","passed","Fri Apr 24 18:40:24 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","678","Создание проекта: проверка полей title и code","Surefire suite","Fri Apr 24 18:43:22 UTC 2026","passed","Fri Apr 24 18:43:23 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","594","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Apr 24 18:43:25 UTC 2026","passed","Fri Apr 24 18:43:25 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
