"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","129817","Создание тест-кейса через UI","Surefire suite","Fri Mar 13 18:29:00 UTC 2026","failed","Fri Mar 13 18:31:10 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","39887","Создание тест-кейса с разными входными данными","Surefire suite","Fri Mar 13 18:33:00 UTC 2026","passed","Fri Mar 13 18:33:40 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1108","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Mar 13 18:35:03 UTC 2026","passed","Fri Mar 13 18:35:05 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка позитивного сценария добавления тест-кейса в проект.","809","Создание тест-кейса и получение его по id","Surefire suite","Fri Mar 13 18:34:51 UTC 2026","passed","Fri Mar 13 18:34:52 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","136","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Mar 13 18:35:09 UTC 2026","passed","Fri Mar 13 18:35:09 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректного увеличения количества тест-кейсов в проекте.","3971","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Mar 13 18:34:59 UTC 2026","passed","Fri Mar 13 18:35:03 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","28389","createTestSuite","Surefire suite","Fri Mar 13 18:34:22 UTC 2026","passed","Fri Mar 13 18:34:50 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","113","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Mar 13 18:35:09 UTC 2026","passed","Fri Mar 13 18:35:09 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","60199","Создание тест-кейса с разными входными данными","Surefire suite","Fri Mar 13 18:31:11 UTC 2026","passed","Fri Mar 13 18:32:11 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","544","Создание проекта","Surefire suite","Fri Mar 13 18:35:05 UTC 2026","passed","Fri Mar 13 18:35:06 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","13824","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Mar 13 18:34:08 UTC 2026","passed","Fri Mar 13 18:34:22 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка успешного удаления проекта и его недоступности после удаления.","685","Удаление проекта","Surefire suite","Fri Mar 13 18:35:07 UTC 2026","passed","Fri Mar 13 18:35:08 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","479","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Mar 13 18:35:08 UTC 2026","passed","Fri Mar 13 18:35:08 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","47320","Создание тест-кейса с разными входными данными","Surefire suite","Fri Mar 13 18:32:12 UTC 2026","passed","Fri Mar 13 18:32:59 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","494","Создание проекта: проверка полей title и code","Surefire suite","Fri Mar 13 18:35:06 UTC 2026","passed","Fri Mar 13 18:35:06 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","5260","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Mar 13 18:34:53 UTC 2026","passed","Fri Mar 13 18:34:59 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка позитивного сценария создания проекта","27664","Создание проекта и его удаление","Surefire suite","Fri Mar 13 18:33:40 UTC 2026","passed","Fri Mar 13 18:34:08 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","1045","Удаление тест-кейса","Surefire suite","Fri Mar 13 18:34:52 UTC 2026","passed","Fri Mar 13 18:34:53 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
