"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1635","Удаление тест-кейса","Surefire suite","Thu Feb 12 13:11:25 UTC 2026","passed","Thu Feb 12 13:11:27 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка позитивного сценария создания проекта","32198","Создание проекта и его удаление","Surefire suite","Thu Feb 12 13:13:57 UTC 2026","passed","Thu Feb 12 13:14:29 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","803","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Thu Feb 12 13:11:46 UTC 2026","passed","Thu Feb 12 13:11:47 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка корректности данных, возвращаемых при создании проекта","871","Создание проекта: проверка полей title и code","Surefire suite","Thu Feb 12 13:11:42 UTC 2026","passed","Thu Feb 12 13:11:43 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"","13516","Создание проекта без названия: проверка ошибки","Surefire suite","Thu Feb 12 13:14:29 UTC 2026","passed","Thu Feb 12 13:14:43 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","241","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Thu Feb 12 13:11:48 UTC 2026","passed","Thu Feb 12 13:11:48 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","25545","Создание тест-кейса с разными входными данными","Surefire suite","Thu Feb 12 13:13:30 UTC 2026","failed","Thu Feb 12 13:13:56 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1546","Обновление тест-кейса: PATCH, поле type","Surefire suite","Thu Feb 12 13:11:38 UTC 2026","passed","Thu Feb 12 13:11:40 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","26115","Создание тест-кейса с разными входными данными","Surefire suite","Thu Feb 12 13:12:32 UTC 2026","failed","Thu Feb 12 13:12:58 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария добавления тест-кейса в проект.","1745","Создание тест-кейса и получение его по id","Surefire suite","Thu Feb 12 13:11:23 UTC 2026","passed","Thu Feb 12 13:11:24 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","243","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Thu Feb 12 13:11:49 UTC 2026","passed","Thu Feb 12 13:11:49 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","27606","createTestSuite","Surefire suite","Thu Feb 12 13:14:43 UTC 2026","passed","Thu Feb 12 13:15:11 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","37983","Создание тест-кейса через UI","Surefire suite","Thu Feb 12 13:11:50 UTC 2026","passed","Thu Feb 12 13:12:28 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка успешного создания проекта и возможности получить его по коду.","713","Создание проекта","Surefire suite","Thu Feb 12 13:11:41 UTC 2026","passed","Thu Feb 12 13:11:41 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","7753","Фильтрация тест-кейсов по типу ","Surefire suite","Thu Feb 12 13:11:27 UTC 2026","passed","Thu Feb 12 13:11:35 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2198","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Thu Feb 12 13:11:36 UTC 2026","passed","Thu Feb 12 13:11:38 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","1182","Удаление проекта","Surefire suite","Thu Feb 12 13:11:44 UTC 2026","passed","Thu Feb 12 13:11:45 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","29569","Создание тест-кейса с разными входными данными","Surefire suite","Thu Feb 12 13:13:00 UTC 2026","failed","Thu Feb 12 13:13:30 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
