"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1870","Удаление тест-кейса","Surefire suite","Fri Feb 06 16:08:09 UTC 2026","passed","Fri Feb 06 16:08:11 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"","29103","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 16:09:01 UTC 2026","passed","Fri Feb 06 16:09:30 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","857","Создание проекта: проверка полей title и code","Surefire suite","Fri Feb 06 16:08:27 UTC 2026","passed","Fri Feb 06 16:08:28 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка успешного создания проекта и возможности получить его по коду.","778","Создание проекта","Surefire suite","Fri Feb 06 16:08:25 UTC 2026","passed","Fri Feb 06 16:08:26 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","256","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 06 16:08:33 UTC 2026","passed","Fri Feb 06 16:08:33 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка успешного удаления проекта и его недоступности после удаления.","1108","Удаление проекта","Surefire suite","Fri Feb 06 16:08:29 UTC 2026","passed","Fri Feb 06 16:08:30 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","12139","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Feb 06 16:11:02 UTC 2026","passed","Fri Feb 06 16:11:15 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка позитивного сценария добавления тест-кейса в проект.","1824","Создание тест-кейса и получение его по id","Surefire suite","Fri Feb 06 16:08:05 UTC 2026","passed","Fri Feb 06 16:08:07 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","263","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 06 16:08:32 UTC 2026","passed","Fri Feb 06 16:08:32 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","44382","createTestSuite","Surefire suite","Fri Feb 06 16:11:15 UTC 2026","passed","Fri Feb 06 16:11:59 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","33740","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 16:10:03 UTC 2026","passed","Fri Feb 06 16:10:37 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","26563","Создание тест-кейса через UI","Surefire suite","Fri Feb 06 16:08:33 UTC 2026","passed","Fri Feb 06 16:09:00 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","8185","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Feb 06 16:08:11 UTC 2026","passed","Fri Feb 06 16:08:20 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","722","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Feb 06 16:08:30 UTC 2026","passed","Fri Feb 06 16:08:31 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка позитивного сценария создания проекта","24377","Создание проекта и его удаление","Surefire suite","Fri Feb 06 16:10:38 UTC 2026","passed","Fri Feb 06 16:11:02 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1498","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Feb 06 16:08:23 UTC 2026","passed","Fri Feb 06 16:08:25 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","32087","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 16:09:31 UTC 2026","passed","Fri Feb 06 16:10:03 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2264","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Feb 06 16:08:20 UTC 2026","passed","Fri Feb 06 16:08:22 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
