"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","13962","Фильтрация тест-кейсов по типу ","Surefire suite","Tue Feb 10 12:57:17 UTC 2026","passed","Tue Feb 10 12:57:31 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","241","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 12:57:46 UTC 2026","passed","Tue Feb 10 12:57:46 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","1577","Удаление тест-кейса","Surefire suite","Tue Feb 10 12:57:15 UTC 2026","passed","Tue Feb 10 12:57:17 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"","29660","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 12:58:51 UTC 2026","passed","Tue Feb 10 12:59:20 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","33835","createTestSuite","Surefire suite","Tue Feb 10 13:00:03 UTC 2026","passed","Tue Feb 10 13:00:37 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка позитивного сценария добавления тест-кейса в проект.","1922","Создание тест-кейса и получение его по id","Surefire suite","Tue Feb 10 12:57:13 UTC 2026","passed","Tue Feb 10 12:57:15 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2180","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Tue Feb 10 12:57:32 UTC 2026","passed","Tue Feb 10 12:57:34 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","803","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Tue Feb 10 12:57:43 UTC 2026","passed","Tue Feb 10 12:57:44 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка корректности данных, возвращаемых при создании проекта","767","Создание проекта: проверка полей title и code","Surefire suite","Tue Feb 10 12:57:39 UTC 2026","passed","Tue Feb 10 12:57:39 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","246","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 12:57:45 UTC 2026","passed","Tue Feb 10 12:57:45 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","12043","Создание проекта без названия: проверка ошибки","Surefire suite","Tue Feb 10 12:59:49 UTC 2026","passed","Tue Feb 10 13:00:01 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка успешного создания проекта и возможности получить его по коду.","771","Создание проекта","Surefire suite","Tue Feb 10 12:57:37 UTC 2026","passed","Tue Feb 10 12:57:38 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","30258","Создание тест-кейса через UI","Surefire suite","Tue Feb 10 12:57:46 UTC 2026","failed","Tue Feb 10 12:58:17 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка позитивного сценария создания проекта","27456","Создание проекта и его удаление","Surefire suite","Tue Feb 10 12:59:21 UTC 2026","passed","Tue Feb 10 12:59:49 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","2229","Удаление проекта","Surefire suite","Tue Feb 10 12:57:40 UTC 2026","passed","Tue Feb 10 12:57:42 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","16778","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 12:58:17 UTC 2026","failed","Tue Feb 10 12:58:34 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1462","Обновление тест-кейса: PATCH, поле type","Surefire suite","Tue Feb 10 12:57:35 UTC 2026","passed","Tue Feb 10 12:57:36 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","15052","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 12:58:35 UTC 2026","failed","Tue Feb 10 12:58:50 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
