"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26421","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 06:58:09 UTC 2026","passed","Tue Feb 10 06:58:36 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","421","Создание проекта","Surefire suite","Tue Feb 10 06:57:09 UTC 2026","passed","Tue Feb 10 06:57:10 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","4146","Фильтрация тест-кейсов по типу ","Surefire suite","Tue Feb 10 06:57:02 UTC 2026","passed","Tue Feb 10 06:57:06 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","23919","Создание тест-кейса через UI","Surefire suite","Tue Feb 10 06:57:13 UTC 2026","passed","Tue Feb 10 06:57:37 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка позитивного сценария создания проекта","22945","Создание проекта и его удаление","Surefire suite","Tue Feb 10 06:58:51 UTC 2026","passed","Tue Feb 10 06:59:14 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","819","Обновление тест-кейса: PATCH, поле type","Surefire suite","Tue Feb 10 06:57:08 UTC 2026","passed","Tue Feb 10 06:57:09 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1198","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Tue Feb 10 06:57:07 UTC 2026","passed","Tue Feb 10 06:57:08 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","961","Удаление тест-кейса","Surefire suite","Tue Feb 10 06:57:01 UTC 2026","passed","Tue Feb 10 06:57:02 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"","11586","Создание проекта без названия: проверка ошибки","Surefire suite","Tue Feb 10 06:59:15 UTC 2026","passed","Tue Feb 10 06:59:26 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка корректности данных, возвращаемых при создании проекта","421","Создание проекта: проверка полей title и code","Surefire suite","Tue Feb 10 06:57:10 UTC 2026","passed","Tue Feb 10 06:57:11 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"","37852","createTestSuite","Surefire suite","Tue Feb 10 06:59:26 UTC 2026","passed","Tue Feb 10 07:00:04 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка позитивного сценария добавления тест-кейса в проект.","1225","Создание тест-кейса и получение его по id","Surefire suite","Tue Feb 10 06:56:59 UTC 2026","passed","Tue Feb 10 06:57:01 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","546","Удаление проекта","Surefire suite","Tue Feb 10 06:57:11 UTC 2026","passed","Tue Feb 10 06:57:12 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","457","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Tue Feb 10 06:57:12 UTC 2026","passed","Tue Feb 10 06:57:12 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","31493","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 06:57:37 UTC 2026","passed","Tue Feb 10 06:58:09 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","92","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 06:57:13 UTC 2026","passed","Tue Feb 10 06:57:13 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","14809","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 06:58:36 UTC 2026","failed","Tue Feb 10 06:58:51 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","108","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 06:57:13 UTC 2026","passed","Tue Feb 10 06:57:13 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
