"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректности данных, возвращаемых при создании проекта","492","Создание проекта: проверка полей title и code","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"","11822","Создание проекта без названия: проверка ошибки","Surefire suite","2026-08-07","passed","2026-08-07","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка успешного удаления проекта и его недоступности после удаления.","683","Удаление проекта","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","136","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","85570","Создание тест-кейса через UI","Surefire suite","2026-08-07","failed","2026-08-07","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1328","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","4933","Фильтрация тест-кейсов по типу ","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"","1126","Удаление тест-кейса","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка успешного создания проекта и возможности получить его по коду.","560","Создание проекта","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка позитивного сценария создания проекта","23920","Создание проекта и его удаление","Surefire suite","2026-08-07","passed","2026-08-07","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","32803","Создание тест-кейса с разными входными данными","Surefire suite","2026-08-07","passed","2026-08-07","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","126","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","32843","Создание тест-кейса с разными входными данными","Surefire suite","2026-08-07","passed","2026-08-07","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","513","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","32969","Создание тест-кейса с разными входными данными","Surefire suite","2026-08-07","passed","2026-08-07","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария добавления тест-кейса в проект.","778","Создание тест-кейса и получение его по id","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1016","Обновление тест-кейса: PATCH, поле type","Surefire suite","2026-08-07","passed","2026-08-07","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","111943","createTestSuite","Surefire suite","2026-08-07","failed","2026-08-07","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
