"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2021","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Feb 06 17:26:45 UTC 2026","passed","Fri Feb 06 17:26:47 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","782","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Feb 06 17:26:55 UTC 2026","passed","Fri Feb 06 17:26:56 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","1672","Удаление тест-кейса","Surefire suite","Fri Feb 06 17:26:35 UTC 2026","passed","Fri Feb 06 17:26:37 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректности данных, возвращаемых при создании проекта","759","Создание проекта: проверка полей title и code","Surefire suite","Fri Feb 06 17:26:52 UTC 2026","passed","Fri Feb 06 17:26:53 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","234","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 06 17:26:57 UTC 2026","passed","Fri Feb 06 17:26:57 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","12628","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Feb 06 17:29:24 UTC 2026","passed","Fri Feb 06 17:29:36 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка успешного удаления проекта и его недоступности после удаления.","976","Удаление проекта","Surefire suite","Fri Feb 06 17:26:53 UTC 2026","passed","Fri Feb 06 17:26:54 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","7499","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Feb 06 17:26:37 UTC 2026","passed","Fri Feb 06 17:26:45 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка успешного создания проекта и возможности получить его по коду.","791","Создание проекта","Surefire suite","Fri Feb 06 17:26:50 UTC 2026","passed","Fri Feb 06 17:26:51 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","26535","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 17:28:04 UTC 2026","passed","Fri Feb 06 17:28:31 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","238","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 06 17:26:56 UTC 2026","passed","Fri Feb 06 17:26:57 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1407","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Feb 06 17:26:48 UTC 2026","passed","Fri Feb 06 17:26:49 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка позитивного сценария создания проекта","23953","Создание проекта и его удаление","Surefire suite","Fri Feb 06 17:28:59 UTC 2026","passed","Fri Feb 06 17:29:23 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","36114","Создание тест-кейса через UI","Surefire suite","Fri Feb 06 17:26:58 UTC 2026","passed","Fri Feb 06 17:27:34 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка позитивного сценария добавления тест-кейса в проект.","1665","Создание тест-кейса и получение его по id","Surefire suite","Fri Feb 06 17:26:33 UTC 2026","passed","Fri Feb 06 17:26:34 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"","37024","createTestSuite","Surefire suite","Fri Feb 06 17:29:37 UTC 2026","passed","Fri Feb 06 17:30:14 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","27178","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 17:28:32 UTC 2026","passed","Fri Feb 06 17:28:59 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","29242","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 17:27:35 UTC 2026","passed","Fri Feb 06 17:28:04 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
