"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46307","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 13 18:34:25 UTC 2026","passed","Fri Feb 13 18:35:11 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1210","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Feb 13 18:38:53 UTC 2026","passed","Fri Feb 13 18:38:54 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","1061","Удаление тест-кейса","Surefire suite","Fri Feb 13 18:38:44 UTC 2026","passed","Fri Feb 13 18:38:45 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"","12574","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Feb 13 18:38:06 UTC 2026","passed","Fri Feb 13 18:38:18 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка позитивного сценария создания проекта","24264","Создание проекта и его удаление","Surefire suite","Fri Feb 13 18:37:41 UTC 2026","passed","Fri Feb 13 18:38:05 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","5013","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Feb 13 18:38:46 UTC 2026","passed","Fri Feb 13 18:38:51 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1569","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Feb 13 18:38:51 UTC 2026","passed","Fri Feb 13 18:38:52 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка успешного создания проекта и возможности получить его по коду.","464","Создание проекта","Surefire suite","Fri Feb 13 18:38:54 UTC 2026","passed","Fri Feb 13 18:38:55 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка корректности данных, возвращаемых при создании проекта","527","Создание проекта: проверка полей title и code","Surefire suite","Fri Feb 13 18:38:55 UTC 2026","passed","Fri Feb 13 18:38:56 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка позитивного сценария добавления тест-кейса в проект.","1004","Создание тест-кейса и получение его по id","Surefire suite","Fri Feb 13 18:38:43 UTC 2026","passed","Fri Feb 13 18:38:44 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","533","Удаление проекта","Surefire suite","Fri Feb 13 18:38:56 UTC 2026","passed","Fri Feb 13 18:38:56 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","437","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Feb 13 18:38:57 UTC 2026","passed","Fri Feb 13 18:38:57 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","23929","createTestSuite","Surefire suite","Fri Feb 13 18:38:19 UTC 2026","passed","Fri Feb 13 18:38:42 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","87","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 13 18:38:58 UTC 2026","passed","Fri Feb 13 18:38:58 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","97","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 13 18:38:57 UTC 2026","passed","Fri Feb 13 18:38:58 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","41830","Создание тест-кейса через UI","Surefire suite","Fri Feb 13 18:33:43 UTC 2026","failed","Fri Feb 13 18:34:25 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","39958","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 13 18:37:00 UTC 2026","passed","Fri Feb 13 18:37:40 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","74050","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 13 18:35:12 UTC 2026","passed","Fri Feb 13 18:36:26 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
