"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20398","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 13:28:17 UTC 2026","broken","Fri Feb 06 13:28:38 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","522","Создание проекта","Surefire suite","Fri Feb 06 13:27:37 UTC 2026","passed","Fri Feb 06 13:27:38 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","34139","createTestSuite","Surefire suite","Fri Feb 06 13:30:18 UTC 2026","passed","Fri Feb 06 13:30:52 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","509","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Feb 06 13:27:40 UTC 2026","passed","Fri Feb 06 13:27:41 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","26906","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 13:29:05 UTC 2026","passed","Fri Feb 06 13:29:32 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","25961","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 13:28:39 UTC 2026","passed","Fri Feb 06 13:29:05 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","1139","Удаление тест-кейса","Surefire suite","Fri Feb 06 13:27:27 UTC 2026","passed","Fri Feb 06 13:27:28 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","142","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 06 13:27:41 UTC 2026","passed","Fri Feb 06 13:27:42 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1094","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Feb 06 13:27:36 UTC 2026","passed","Fri Feb 06 13:27:37 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","5015","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Feb 06 13:27:29 UTC 2026","passed","Fri Feb 06 13:27:34 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка корректности данных, возвращаемых при создании проекта","496","Создание проекта: проверка полей title и code","Surefire suite","Fri Feb 06 13:27:38 UTC 2026","passed","Fri Feb 06 13:27:39 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка успешного удаления проекта и его недоступности после удаления.","704","Удаление проекта","Surefire suite","Fri Feb 06 13:27:39 UTC 2026","passed","Fri Feb 06 13:27:40 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","11773","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Feb 06 13:30:06 UTC 2026","passed","Fri Feb 06 13:30:18 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка позитивного сценария добавления тест-кейса в проект.","1724","Создание тест-кейса и получение его по id","Surefire suite","Fri Feb 06 13:27:25 UTC 2026","passed","Fri Feb 06 13:27:27 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1345","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Feb 06 13:27:34 UTC 2026","passed","Fri Feb 06 13:27:36 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","34650","Создание тест-кейса через UI","Surefire suite","Fri Feb 06 13:27:42 UTC 2026","broken","Fri Feb 06 13:28:17 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка позитивного сценария создания проекта","33201","Создание проекта и его удаление","Surefire suite","Fri Feb 06 13:29:32 UTC 2026","passed","Fri Feb 06 13:30:06 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","126","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 06 13:27:42 UTC 2026","passed","Fri Feb 06 13:27:42 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
