"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","UI Tests","0","","3","0","","0"
"0","API Tests","0","","4","0","","0"
"0","","0","","1","0","","0"
