"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание тест-кейса","23654","checkCreateCase","Surefire suite","Mon Oct 06 12:48:25 UTC 2025","passed","Mon Oct 06 12:48:49 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Создание проекта без названия: проверка ошибки","5233","checkCreateProjectWithNegative","Surefire suite","Mon Oct 06 12:49:09 UTC 2025","failed","Mon Oct 06 12:49:14 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","1190","addCaseToProject","Surefire suite","Mon Oct 06 12:48:20 UTC 2025","passed","Mon Oct 06 12:48:21 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","853","checkCreateAndDeleteProject","Surefire suite","Mon Oct 06 12:48:22 UTC 2025","passed","Mon Oct 06 12:48:23 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"","1177","cheсkFieldCreateFormNewProject","Surefire suite","Mon Oct 06 12:48:24 UTC 2025","passed","Mon Oct 06 12:48:25 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"Создание проекта и его удаление","19051","checkCreateProject","Surefire suite","Mon Oct 06 12:48:50 UTC 2025","passed","Mon Oct 06 12:49:09 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","583","checkCreateProjectFailsWithoutTitle","Surefire suite","Mon Oct 06 12:48:23 UTC 2025","passed","Mon Oct 06 12:48:24 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
