"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27032","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 08:31:00 UTC 2026","passed","Tue Feb 10 08:31:27 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","12253","Создание проекта без названия: проверка ошибки","Surefire suite","Tue Feb 10 08:32:50 UTC 2026","passed","Tue Feb 10 08:33:03 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка успешного создания проекта и возможности получить его по коду.","643","Создание проекта","Surefire suite","Tue Feb 10 08:30:21 UTC 2026","passed","Tue Feb 10 08:30:21 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","268","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 08:30:27 UTC 2026","passed","Tue Feb 10 08:30:27 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","33107","createTestSuite","Surefire suite","Tue Feb 10 08:33:03 UTC 2026","passed","Tue Feb 10 08:33:36 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка успешного удаления проекта и его недоступности после удаления.","890","Удаление проекта","Surefire suite","Tue Feb 10 08:30:24 UTC 2026","passed","Tue Feb 10 08:30:24 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка корректности данных, возвращаемых при создании проекта","645","Создание проекта: проверка полей title и code","Surefire suite","Tue Feb 10 08:30:22 UTC 2026","passed","Tue Feb 10 08:30:23 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","657","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Tue Feb 10 08:30:25 UTC 2026","passed","Tue Feb 10 08:30:26 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","211","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 08:30:26 UTC 2026","passed","Tue Feb 10 08:30:27 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","1419","Удаление тест-кейса","Surefire suite","Tue Feb 10 08:30:07 UTC 2026","passed","Tue Feb 10 08:30:09 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","31846","Создание тест-кейса через UI","Surefire suite","Tue Feb 10 08:30:28 UTC 2026","passed","Tue Feb 10 08:30:59 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка позитивного сценария добавления тест-кейса в проект.","1525","Создание тест-кейса и получение его по id","Surefire suite","Tue Feb 10 08:30:05 UTC 2026","passed","Tue Feb 10 08:30:07 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2021","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Tue Feb 10 08:30:16 UTC 2026","passed","Tue Feb 10 08:30:18 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","27403","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 08:31:28 UTC 2026","passed","Tue Feb 10 08:31:55 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","30059","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 08:31:56 UTC 2026","passed","Tue Feb 10 08:32:26 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","23574","Создание проекта и его удаление","Surefire suite","Tue Feb 10 08:32:26 UTC 2026","passed","Tue Feb 10 08:32:50 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","6594","Фильтрация тест-кейсов по типу ","Surefire suite","Tue Feb 10 08:30:09 UTC 2026","passed","Tue Feb 10 08:30:16 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1261","Обновление тест-кейса: PATCH, поле type","Surefire suite","Tue Feb 10 08:30:19 UTC 2026","passed","Tue Feb 10 08:30:20 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
