"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного удаления проекта и его недоступности после удаления.","1105","Удаление проекта","Surefire suite","Tue Feb 10 06:44:20 UTC 2026","passed","Tue Feb 10 06:44:21 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка успешного создания проекта и возможности получить его по коду.","779","Создание проекта","Surefire suite","Tue Feb 10 06:44:17 UTC 2026","passed","Tue Feb 10 06:44:18 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","11509","Создание проекта без названия: проверка ошибки","Surefire suite","Tue Feb 10 06:46:36 UTC 2026","passed","Tue Feb 10 06:46:48 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","34195","createTestSuite","Surefire suite","Tue Feb 10 06:46:48 UTC 2026","passed","Tue Feb 10 06:47:23 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","325","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 06:44:25 UTC 2026","passed","Tue Feb 10 06:44:25 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","30373","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 06:44:52 UTC 2026","passed","Tue Feb 10 06:45:22 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","16183","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 06:45:23 UTC 2026","failed","Tue Feb 10 06:45:39 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","25663","Создание проекта и его удаление","Surefire suite","Tue Feb 10 06:46:10 UTC 2026","passed","Tue Feb 10 06:46:36 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка позитивного сценария добавления тест-кейса в проект.","1808","Создание тест-кейса и получение его по id","Surefire suite","Tue Feb 10 06:43:58 UTC 2026","passed","Tue Feb 10 06:44:00 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"","1674","Удаление тест-кейса","Surefire suite","Tue Feb 10 06:44:01 UTC 2026","passed","Tue Feb 10 06:44:03 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","24224","Создание тест-кейса через UI","Surefire suite","Tue Feb 10 06:44:26 UTC 2026","passed","Tue Feb 10 06:44:50 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1510","Обновление тест-кейса: PATCH, поле type","Surefire suite","Tue Feb 10 06:44:15 UTC 2026","passed","Tue Feb 10 06:44:16 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","7923","Фильтрация тест-кейсов по типу ","Surefire suite","Tue Feb 10 06:44:03 UTC 2026","passed","Tue Feb 10 06:44:11 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка корректности данных, возвращаемых при создании проекта","780","Создание проекта: проверка полей title и code","Surefire suite","Tue Feb 10 06:44:19 UTC 2026","passed","Tue Feb 10 06:44:19 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2204","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Tue Feb 10 06:44:12 UTC 2026","passed","Tue Feb 10 06:44:14 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","30142","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 10 06:45:40 UTC 2026","passed","Tue Feb 10 06:46:10 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","907","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Tue Feb 10 06:44:23 UTC 2026","passed","Tue Feb 10 06:44:24 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","263","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 10 06:44:25 UTC 2026","passed","Tue Feb 10 06:44:26 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
