"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12096","Создание тест-кейса с разными входными данными","Surefire suite","Fri Oct 10 18:18:05 UTC 2025","passed","Fri Oct 10 18:18:17 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","1125","Создание проекта: проверка корректности полей title и code","Surefire suite","Fri Oct 10 18:17:24 UTC 2025","passed","Fri Oct 10 18:17:26 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"","9669","Создание тест-кейса с разными входными данными","Surefire suite","Fri Oct 10 18:18:29 UTC 2025","passed","Fri Oct 10 18:18:39 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","92402","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Oct 10 18:18:50 UTC 2025","failed","Fri Oct 10 18:20:22 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка позитивного сценария добавления тест-кейса в проект.","1034","Добавление нового тест-кейса в существующий проект","Surefire suite","Fri Oct 10 18:17:20 UTC 2025","passed","Fri Oct 10 18:17:21 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
" Проверка базового сценария создания удаления нового проекта","841","Создание и удаление проекта","Surefire suite","Fri Oct 10 18:17:22 UTC 2025","passed","Fri Oct 10 18:17:23 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"Проверка позитивного сценария создания проекта","10025","Создание проекта и его удаление","Surefire suite","Fri Oct 10 18:18:39 UTC 2025","passed","Fri Oct 10 18:18:49 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","38639","Создание тест-кейса через UI","Surefire suite","Fri Oct 10 18:17:26 UTC 2025","passed","Fri Oct 10 18:18:05 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","10544","Создание тест-кейса с разными входными данными","Surefire suite","Fri Oct 10 18:18:18 UTC 2025","passed","Fri Oct 10 18:18:28 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","418","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Fri Oct 10 18:17:23 UTC 2025","passed","Fri Oct 10 18:17:24 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
