"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","637","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Feb 06 18:36:37 UTC 2026","passed","Fri Feb 06 18:36:38 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","26425","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 18:38:01 UTC 2026","passed","Fri Feb 06 18:38:27 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","12001","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Feb 06 18:38:57 UTC 2026","passed","Fri Feb 06 18:39:09 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","171","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 06 18:36:38 UTC 2026","passed","Fri Feb 06 18:36:39 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","1242","Удаление тест-кейса","Surefire suite","Fri Feb 06 18:35:10 UTC 2026","passed","Fri Feb 06 18:35:11 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректности данных, возвращаемых при создании проекта","624","Создание проекта: проверка полей title и code","Surefire suite","Fri Feb 06 18:36:35 UTC 2026","passed","Fri Feb 06 18:36:35 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","23280","Создание тест-кейса через UI","Surefire suite","Fri Feb 06 18:36:39 UTC 2026","passed","Fri Feb 06 18:37:02 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка успешного создания проекта и возможности получить его по коду.","1235","Создание проекта","Surefire suite","Fri Feb 06 18:36:33 UTC 2026","passed","Fri Feb 06 18:36:34 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","28232","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 18:37:32 UTC 2026","passed","Fri Feb 06 18:38:00 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","28551","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 06 18:37:03 UTC 2026","passed","Fri Feb 06 18:37:32 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","29320","Создание проекта и его удаление","Surefire suite","Fri Feb 06 18:38:28 UTC 2026","passed","Fri Feb 06 18:38:57 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректного увеличения количества тест-кейсов в проекте.","4003","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Feb 06 18:35:18 UTC 2026","passed","Fri Feb 06 18:35:22 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","5798","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Feb 06 18:35:11 UTC 2026","passed","Fri Feb 06 18:35:17 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"","36790","createTestSuite","Surefire suite","Fri Feb 06 18:39:10 UTC 2026","passed","Fri Feb 06 18:39:46 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","126","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 06 18:36:39 UTC 2026","passed","Fri Feb 06 18:36:39 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка позитивного сценария добавления тест-кейса в проект.","1935","Создание тест-кейса и получение его по id","Surefire suite","Fri Feb 06 18:35:07 UTC 2026","passed","Fri Feb 06 18:35:09 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","753","Удаление проекта","Surefire suite","Fri Feb 06 18:36:36 UTC 2026","passed","Fri Feb 06 18:36:37 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","62322","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Feb 06 18:35:22 UTC 2026","passed","Fri Feb 06 18:36:25 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
