"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного удаления проекта и его недоступности после удаления.","732","Удаление проекта","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","96156","Создание тест-кейса через UI","Surefire suite","2026-09-04","failed","2026-09-04","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1180","Обновление тест-кейса: PATCH, поле type","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","11860","Создание проекта без названия: проверка ошибки","Surefire suite","2026-09-04","passed","2026-09-04","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","33883","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-04","passed","2026-09-04","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","5730","Фильтрация тест-кейсов по типу ","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка позитивного сценария добавления тест-кейса в проект.","930","Создание тест-кейса и получение его по id","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка корректности данных, возвращаемых при создании проекта","634","Создание проекта: проверка полей title и code","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка позитивного сценария создания проекта","24353","Создание проекта и его удаление","Surefire suite","2026-09-04","passed","2026-09-04","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1640","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","0","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-09-04","skipped","2026-09-04","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","53360","createTestSuite","Surefire suite","2026-09-04","failed","2026-09-04","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","32966","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-04","passed","2026-09-04","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","1","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-09-04","skipped","2026-09-04","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","33426","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-04","passed","2026-09-04","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","1246","Удаление тест-кейса","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка успешного создания проекта и возможности получить его по коду.","570","Создание проекта","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","0","Browser teardown","Surefire suite","2026-09-04","failed","2026-09-04","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","tearDown"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","0","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","2026-09-04","skipped","2026-09-04","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
