"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","288","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Tue Dec 23 10:52:47 UTC 2025","passed","Tue Dec 23 10:52:47 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"","10713","Создание тест-кейса с разными входными данными","Surefire suite","Tue Dec 23 10:53:33 UTC 2025","passed","Tue Dec 23 10:53:44 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","13003","Создание тест-кейса с разными входными данными","Surefire suite","Tue Dec 23 10:53:07 UTC 2025","passed","Tue Dec 23 10:53:20 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
" Проверка базового сценария создания удаления нового проекта","606","Создание и удаление проекта","Surefire suite","Tue Dec 23 10:52:46 UTC 2025","passed","Tue Dec 23 10:52:46 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"","91807","Создание проекта без названия: проверка ошибки","Surefire suite","Tue Dec 23 10:53:55 UTC 2025","failed","Tue Dec 23 10:55:27 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","18730","Создание тест-кейса через UI","Surefire suite","Tue Dec 23 10:52:48 UTC 2025","passed","Tue Dec 23 10:53:07 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка позитивного сценария добавления тест-кейса в проект.","864","Добавление нового тест-кейса в существующий проект","Surefire suite","Tue Dec 23 10:52:44 UTC 2025","passed","Tue Dec 23 10:52:45 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","9603","createTestSuite","Surefire suite","Tue Dec 23 10:55:28 UTC 2025","passed","Tue Dec 23 10:55:37 UTC 2025","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка позитивного сценария создания проекта","10759","Создание проекта и его удаление","Surefire suite","Tue Dec 23 10:53:44 UTC 2025","passed","Tue Dec 23 10:53:55 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректности данных, возвращаемых при создании проекта","680","Создание проекта: проверка корректности полей title и code","Surefire suite","Tue Dec 23 10:52:47 UTC 2025","passed","Tue Dec 23 10:52:48 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"","11707","Создание тест-кейса с разными входными данными","Surefire suite","Tue Dec 23 10:53:21 UTC 2025","passed","Tue Dec 23 10:53:33 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
