"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10748","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 26 18:28:42 UTC 2025","passed","Fri Dec 26 18:28:52 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","603240","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 26 18:18:37 UTC 2025","failed","Fri Dec 26 18:28:41 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария добавления тест-кейса в проект.","844","Добавление нового тест-кейса в существующий проект","Surefire suite","Fri Dec 26 18:18:03 UTC 2025","passed","Fri Dec 26 18:18:04 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
" Проверка базового сценария создания удаления нового проекта","668","Создание и удаление проекта","Surefire suite","Fri Dec 26 18:18:05 UTC 2025","passed","Fri Dec 26 18:18:05 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","324","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Fri Dec 26 18:18:06 UTC 2025","passed","Fri Dec 26 18:18:06 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"","10964","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 26 18:18:26 UTC 2025","passed","Fri Dec 26 18:18:37 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","10011","Создание проекта и его удаление","Surefire suite","Fri Dec 26 18:28:53 UTC 2025","passed","Fri Dec 26 18:29:03 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","18099","Создание тест-кейса через UI","Surefire suite","Fri Dec 26 18:18:07 UTC 2025","passed","Fri Dec 26 18:18:25 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка корректности данных, возвращаемых при создании проекта","731","Создание проекта: проверка корректности полей title и code","Surefire suite","Fri Dec 26 18:18:06 UTC 2025","passed","Fri Dec 26 18:18:07 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"","9017","createTestSuite","Surefire suite","Fri Dec 26 18:29:08 UTC 2025","passed","Fri Dec 26 18:29:17 UTC 2025","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","4594","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Dec 26 18:29:03 UTC 2025","passed","Fri Dec 26 18:29:08 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
