"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","255","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Jan 30 14:30:14 UTC 2026","passed","Fri Jan 30 14:30:14 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","748","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Jan 30 14:30:13 UTC 2026","passed","Fri Jan 30 14:30:13 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1402","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Jan 30 14:30:05 UTC 2026","passed","Fri Jan 30 14:30:07 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка успешного создания проекта и возможности получить его по коду.","885","Создание проекта","Surefire suite","Fri Jan 30 14:30:08 UTC 2026","passed","Fri Jan 30 14:30:09 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","26655","Создание тест-кейса через UI","Surefire suite","Fri Jan 30 14:30:16 UTC 2026","passed","Fri Jan 30 14:30:42 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","25431","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 14:32:00 UTC 2026","passed","Fri Jan 30 14:32:25 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","248","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Jan 30 14:30:15 UTC 2026","passed","Fri Jan 30 14:30:15 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","1601","Удаление тест-кейса","Surefire suite","Fri Jan 30 14:29:51 UTC 2026","passed","Fri Jan 30 14:29:52 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректного увеличения количества тест-кейсов в проекте.","3798","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Jan 30 14:30:01 UTC 2026","passed","Fri Jan 30 14:30:05 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","35067","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 14:30:43 UTC 2026","failed","Fri Jan 30 14:31:18 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","36929","Создание проекта и его удаление","Surefire suite","Fri Jan 30 14:32:26 UTC 2026","passed","Fri Jan 30 14:33:03 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректности данных, возвращаемых при создании проекта","753","Создание проекта: проверка полей title и code","Surefire suite","Fri Jan 30 14:30:09 UTC 2026","passed","Fri Jan 30 14:30:10 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"","38656","createTestSuite","Surefire suite","Fri Jan 30 14:33:15 UTC 2026","passed","Fri Jan 30 14:33:54 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","40363","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 14:31:19 UTC 2026","passed","Fri Jan 30 14:31:59 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","7693","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Jan 30 14:29:53 UTC 2026","passed","Fri Jan 30 14:30:00 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"","12079","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Jan 30 14:33:03 UTC 2026","passed","Fri Jan 30 14:33:15 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка успешного удаления проекта и его недоступности после удаления.","1018","Удаление проекта","Surefire suite","Fri Jan 30 14:30:11 UTC 2026","passed","Fri Jan 30 14:30:12 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка позитивного сценария добавления тест-кейса в проект.","1701","Создание тест-кейса и получение его по id","Surefire suite","Fri Jan 30 14:29:48 UTC 2026","passed","Fri Jan 30 14:29:50 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
