"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","83235","Создание тест-кейса через UI","Surefire suite","2026-08-14","failed","2026-08-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка корректности данных, возвращаемых при создании проекта","558","Создание проекта: проверка полей title и code","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка позитивного сценария создания проекта","24411","Создание проекта и его удаление","Surefire suite","2026-08-14","passed","2026-08-14","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","589","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","32287","Создание тест-кейса с разными входными данными","Surefire suite","2026-08-14","passed","2026-08-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария добавления тест-кейса в проект.","1047","Создание тест-кейса и получение его по id","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","776","Удаление проекта","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","11699","Создание проекта без названия: проверка ошибки","Surefire suite","2026-08-14","passed","2026-08-14","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","6064","Фильтрация тест-кейсов по типу ","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"","124074","createTestSuite","Surefire suite","2026-08-14","failed","2026-08-14","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","169","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","32595","Создание тест-кейса с разными входными данными","Surefire suite","2026-08-14","passed","2026-08-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","35109","Создание тест-кейса с разными входными данными","Surefire suite","2026-08-14","passed","2026-08-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","582","Создание проекта","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","1366","Удаление тест-кейса","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1237","Обновление тест-кейса: PATCH, поле type","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1711","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","184","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-08-14","passed","2026-08-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
