"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка позитивного сценария создания проекта","21736","Создание проекта и его удаление","Surefire suite","Fri Dec 19 12:10:12 UTC 2025","passed","Fri Dec 19 12:10:34 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","73248","createTestSuite","Surefire suite","Fri Dec 19 12:10:39 UTC 2025","failed","Fri Dec 19 12:11:53 UTC 2025","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
" Проверка базового сценария создания удаления нового проекта","866","Создание и удаление проекта","Surefire suite","Fri Dec 19 12:07:44 UTC 2025","passed","Fri Dec 19 12:07:45 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"","5109","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Dec 19 12:10:34 UTC 2025","passed","Fri Dec 19 12:10:39 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","72381","Создание тест-кейса через UI","Surefire suite","Fri Dec 19 12:07:48 UTC 2025","failed","Fri Dec 19 12:09:00 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","41771","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 19 12:09:30 UTC 2025","failed","Fri Dec 19 12:10:11 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","12235","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 19 12:09:17 UTC 2025","passed","Fri Dec 19 12:09:29 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","1093","Создание проекта: проверка корректности полей title и code","Surefire suite","Fri Dec 19 12:07:46 UTC 2025","passed","Fri Dec 19 12:07:47 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"Проверка позитивного сценария добавления тест-кейса в проект.","1063","Добавление нового тест-кейса в существующий проект","Surefire suite","Fri Dec 19 12:07:42 UTC 2025","passed","Fri Dec 19 12:07:43 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","14961","Создание тест-кейса с разными входными данными","Surefire suite","Fri Dec 19 12:09:01 UTC 2025","passed","Fri Dec 19 12:09:16 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","453","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Fri Dec 19 12:07:45 UTC 2025","passed","Fri Dec 19 12:07:46 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
