"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","20966","Создание тест-кейса через UI","Surefire suite","Fri Nov 07 18:17:08 UTC 2025","failed","Fri Nov 07 18:17:29 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","277","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Fri Nov 07 18:17:07 UTC 2025","passed","Fri Nov 07 18:17:07 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"","11541","Создание тест-кейса с разными входными данными","Surefire suite","Fri Nov 07 18:17:57 UTC 2025","failed","Fri Nov 07 18:18:08 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","13903","Создание проекта и его удаление","Surefire suite","Fri Nov 07 18:18:09 UTC 2025","passed","Fri Nov 07 18:18:23 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректности данных, возвращаемых при создании проекта","742","Создание проекта: проверка корректности полей title и code","Surefire suite","Fri Nov 07 18:17:07 UTC 2025","passed","Fri Nov 07 18:17:08 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"","14332","Создание тест-кейса с разными входными данными","Surefire suite","Fri Nov 07 18:17:42 UTC 2025","failed","Fri Nov 07 18:17:56 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","11643","Создание тест-кейса с разными входными данными","Surefire suite","Fri Nov 07 18:17:30 UTC 2025","failed","Fri Nov 07 18:17:41 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
" Проверка базового сценария создания удаления нового проекта","576","Создание и удаление проекта","Surefire suite","Fri Nov 07 18:17:06 UTC 2025","passed","Fri Nov 07 18:17:06 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"Проверка позитивного сценария добавления тест-кейса в проект.","1173","Добавление нового тест-кейса в существующий проект","Surefire suite","Fri Nov 07 18:17:04 UTC 2025","passed","Fri Nov 07 18:17:05 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","4297","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Nov 07 18:18:23 UTC 2025","passed","Fri Nov 07 18:18:28 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
