"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","44326","Создание тест-кейса через UI","Surefire suite","Fri Feb 27 18:28:44 UTC 2026","failed","Fri Feb 27 18:29:29 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","40325","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 27 18:29:31 UTC 2026","passed","Fri Feb 27 18:30:11 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1632","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Feb 27 18:32:55 UTC 2026","passed","Fri Feb 27 18:32:57 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка успешного создания проекта и возможности получить его по коду.","533","Создание проекта","Surefire suite","Fri Feb 27 18:32:59 UTC 2026","passed","Fri Feb 27 18:32:59 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка позитивного сценария создания проекта","29107","Создание проекта и его удаление","Surefire suite","Fri Feb 27 18:31:33 UTC 2026","passed","Fri Feb 27 18:32:02 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","1280","Удаление тест-кейса","Surefire suite","Fri Feb 27 18:32:47 UTC 2026","passed","Fri Feb 27 18:32:48 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","5788","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Feb 27 18:32:49 UTC 2026","passed","Fri Feb 27 18:32:55 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка позитивного сценария добавления тест-кейса в проект.","904","Создание тест-кейса и получение его по id","Surefire suite","Fri Feb 27 18:32:46 UTC 2026","passed","Fri Feb 27 18:32:47 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"","39432","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 27 18:30:53 UTC 2026","passed","Fri Feb 27 18:31:32 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1091","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Feb 27 18:32:57 UTC 2026","passed","Fri Feb 27 18:32:58 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","13044","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Feb 27 18:32:02 UTC 2026","passed","Fri Feb 27 18:32:15 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","29680","createTestSuite","Surefire suite","Fri Feb 27 18:32:15 UTC 2026","passed","Fri Feb 27 18:32:45 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","40101","Создание тест-кейса с разными входными данными","Surefire suite","Fri Feb 27 18:30:12 UTC 2026","passed","Fri Feb 27 18:30:52 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","179","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 27 18:33:03 UTC 2026","passed","Fri Feb 27 18:33:03 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","591","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Feb 27 18:33:02 UTC 2026","passed","Fri Feb 27 18:33:03 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка успешного удаления проекта и его недоступности после удаления.","769","Удаление проекта","Surefire suite","Fri Feb 27 18:33:01 UTC 2026","passed","Fri Feb 27 18:33:02 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","161","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Feb 27 18:33:04 UTC 2026","passed","Fri Feb 27 18:33:04 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректности данных, возвращаемых при создании проекта","583","Создание проекта: проверка полей title и code","Surefire suite","Fri Feb 27 18:33:00 UTC 2026","passed","Fri Feb 27 18:33:00 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
