"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71781","createTestSuite","Surefire suite","Fri Jan 09 18:27:53 UTC 2026","failed","Fri Jan 09 18:29:04 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка позитивного сценария создания проекта","64763","Создание проекта и его удаление","Surefire suite","Fri Jan 09 18:26:43 UTC 2026","failed","Fri Jan 09 18:27:47 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","4377","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Jan 09 18:27:48 UTC 2026","passed","Fri Jan 09 18:27:52 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","73860","Создание тест-кейса через UI","Surefire suite","Fri Jan 09 18:19:58 UTC 2026","failed","Fri Jan 09 18:21:12 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка позитивного сценария добавления тест-кейса в проект.","916","Добавление нового тест-кейса в существующий проект","Surefire suite","Fri Jan 09 18:19:52 UTC 2026","passed","Fri Jan 09 18:19:52 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","65144","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 09 18:21:12 UTC 2026","failed","Fri Jan 09 18:22:17 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректности данных, возвращаемых при создании проекта","817","Создание проекта: проверка корректности полей title и code","Surefire suite","Fri Jan 09 18:19:57 UTC 2026","passed","Fri Jan 09 18:19:57 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"","65828","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 09 18:22:18 UTC 2026","failed","Fri Jan 09 18:23:24 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","178","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Fri Jan 09 18:19:56 UTC 2026","passed","Fri Jan 09 18:19:56 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"","65410","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 09 18:23:24 UTC 2026","failed","Fri Jan 09 18:24:30 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","857","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Jan 09 18:19:55 UTC 2026","passed","Fri Jan 09 18:19:56 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithDuplicateCode"
" Проверка сценария создание и удаление нового проекта","1181","Создание и удаление проекта","Surefire suite","Fri Jan 09 18:19:53 UTC 2026","passed","Fri Jan 09 18:19:54 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
