"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27658","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 03 12:38:50 UTC 2026","failed","Tue Feb 03 12:39:18 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","555","Создание проекта","Surefire suite","Tue Feb 03 12:37:43 UTC 2026","passed","Tue Feb 03 12:37:44 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","16865","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 03 12:38:18 UTC 2026","failed","Tue Feb 03 12:38:35 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1012","Обновление тест-кейса: PATCH, поле type","Surefire suite","Tue Feb 03 12:37:42 UTC 2026","passed","Tue Feb 03 12:37:43 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","170","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 03 12:37:48 UTC 2026","passed","Tue Feb 03 12:37:48 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","28267","Создание тест-кейса через UI","Surefire suite","Tue Feb 03 12:37:49 UTC 2026","passed","Tue Feb 03 12:38:17 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","0","Создание проекта без названия: проверка ошибки","Surefire suite","Tue Feb 03 12:40:11 UTC 2026","skipped","Tue Feb 03 12:40:11 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","624","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Tue Feb 03 12:37:47 UTC 2026","passed","Tue Feb 03 12:37:47 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","14332","Создание тест-кейса с разными входными данными","Surefire suite","Tue Feb 03 12:38:36 UTC 2026","failed","Tue Feb 03 12:38:50 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария добавления тест-кейса в проект.","1410","Создание тест-кейса и получение его по id","Surefire suite","Tue Feb 03 12:37:31 UTC 2026","passed","Tue Feb 03 12:37:32 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка позитивного сценария создания проекта","51788","Создание проекта и его удаление","Surefire suite","Tue Feb 03 12:39:19 UTC 2026","passed","Tue Feb 03 12:40:11 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","5332","Фильтрация тест-кейсов по типу ","Surefire suite","Tue Feb 03 12:37:34 UTC 2026","passed","Tue Feb 03 12:37:40 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка успешного удаления проекта и его недоступности после удаления.","769","Удаление проекта","Surefire suite","Tue Feb 03 12:37:46 UTC 2026","passed","Tue Feb 03 12:37:46 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","34841","createTestSuite","Surefire suite","Tue Feb 03 12:40:11 UTC 2026","passed","Tue Feb 03 12:40:46 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","0","Browser teardown","Surefire suite","Tue Feb 03 12:40:11 UTC 2026","failed","Tue Feb 03 12:40:11 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","tearDown"
"","1334","Удаление тест-кейса","Surefire suite","Tue Feb 03 12:37:33 UTC 2026","passed","Tue Feb 03 12:37:34 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1526","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Tue Feb 03 12:37:40 UTC 2026","passed","Tue Feb 03 12:37:42 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","175","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Tue Feb 03 12:37:49 UTC 2026","passed","Tue Feb 03 12:37:49 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректности данных, возвращаемых при создании проекта","617","Создание проекта: проверка полей title и code","Surefire suite","Tue Feb 03 12:37:45 UTC 2026","passed","Tue Feb 03 12:37:45 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
