"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","249","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Wed Feb 04 08:36:27 UTC 2026","passed","Wed Feb 04 08:36:27 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","26823","Создание тест-кейса с разными входными данными","Surefire suite","Wed Feb 04 08:37:49 UTC 2026","passed","Wed Feb 04 08:38:16 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","1777","Удаление тест-кейса","Surefire suite","Wed Feb 04 08:36:02 UTC 2026","passed","Wed Feb 04 08:36:04 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректности данных, возвращаемых при создании проекта","799","Создание проекта: проверка полей title и code","Surefire suite","Wed Feb 04 08:36:22 UTC 2026","passed","Wed Feb 04 08:36:23 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"","32157","Создание тест-кейса с разными входными данными","Surefire suite","Wed Feb 04 08:36:48 UTC 2026","passed","Wed Feb 04 08:37:20 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","723","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Wed Feb 04 08:36:25 UTC 2026","passed","Wed Feb 04 08:36:26 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","10365","Фильтрация тест-кейсов по типу ","Surefire suite","Wed Feb 04 08:36:04 UTC 2026","passed","Wed Feb 04 08:36:15 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","223","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Wed Feb 04 08:36:27 UTC 2026","passed","Wed Feb 04 08:36:28 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка позитивного сценария добавления тест-кейса в проект.","2711","Создание тест-кейса и получение его по id","Surefire suite","Wed Feb 04 08:35:58 UTC 2026","passed","Wed Feb 04 08:36:01 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"","37215","createTestSuite","Surefire suite","Wed Feb 04 08:38:56 UTC 2026","passed","Wed Feb 04 08:39:33 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","19168","Создание тест-кейса через UI","Surefire suite","Wed Feb 04 08:36:28 UTC 2026","passed","Wed Feb 04 08:36:47 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка успешного удаления проекта и его недоступности после удаления.","1014","Удаление проекта","Surefire suite","Wed Feb 04 08:36:24 UTC 2026","passed","Wed Feb 04 08:36:25 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2131","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Wed Feb 04 08:36:15 UTC 2026","passed","Wed Feb 04 08:36:18 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","27705","Создание тест-кейса с разными входными данными","Surefire suite","Wed Feb 04 08:37:21 UTC 2026","passed","Wed Feb 04 08:37:48 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","694","Создание проекта","Surefire suite","Wed Feb 04 08:36:21 UTC 2026","passed","Wed Feb 04 08:36:21 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка позитивного сценария создания проекта","23538","Создание проекта и его удаление","Surefire suite","Wed Feb 04 08:38:18 UTC 2026","passed","Wed Feb 04 08:38:41 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1789","Обновление тест-кейса: PATCH, поле type","Surefire suite","Wed Feb 04 08:36:18 UTC 2026","passed","Wed Feb 04 08:36:20 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","13649","Создание проекта без названия: проверка ошибки","Surefire suite","Wed Feb 04 08:38:42 UTC 2026","passed","Wed Feb 04 08:38:55 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
