"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","111","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","21536","Создание тест-кейса через UI","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка успешного удаления проекта и его недоступности после удаления.","679","Удаление проекта","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка успешного создания проекта и возможности получить его по коду.","459","Создание проекта","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","29438","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","29617","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","29482","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","1070","Удаление тест-кейса","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"","19691","createTestSuite","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","521","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1392","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка позитивного сценария добавления тест-кейса в проект.","789","Создание тест-кейса и получение его по id","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1000","Обновление тест-кейса: PATCH, поле type","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","114","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректности данных, возвращаемых при создании проекта","497","Создание проекта: проверка полей title и code","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка позитивного сценария создания проекта","22693","Создание проекта и его удаление","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","9917","Создание проекта без названия: проверка ошибки","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","4736","Фильтрация тест-кейсов по типу ","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
