"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34085","createTestSuite","Surefire suite","Fri May 15 19:16:34 UTC 2026","passed","Fri May 15 19:17:08 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","48684","Создание тест-кейса с разными входными данными","Surefire suite","Fri May 15 19:19:57 UTC 2026","passed","Fri May 15 19:20:46 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка успешного создания проекта и возможности получить его по коду.","744","Создание проекта","Surefire suite","Fri May 15 19:20:47 UTC 2026","passed","Fri May 15 19:20:48 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","6792","Фильтрация тест-кейсов по типу ","Surefire suite","Fri May 15 19:20:58 UTC 2026","passed","Fri May 15 19:21:05 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"","43065","Создание тест-кейса с разными входными данными","Surefire suite","Fri May 15 19:19:14 UTC 2026","passed","Fri May 15 19:19:57 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","27893","Создание тест-кейса через UI","Surefire suite","Fri May 15 19:17:58 UTC 2026","failed","Fri May 15 19:18:26 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка успешного удаления проекта и его недоступности после удаления.","987","Удаление проекта","Surefire suite","Fri May 15 19:20:50 UTC 2026","passed","Fri May 15 19:20:51 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка позитивного сценария создания проекта","28985","Создание проекта и его удаление","Surefire suite","Fri May 15 19:17:09 UTC 2026","passed","Fri May 15 19:17:38 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","684","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri May 15 19:20:52 UTC 2026","passed","Fri May 15 19:20:52 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","18727","Создание проекта без названия: проверка ошибки","Surefire suite","Fri May 15 19:17:39 UTC 2026","passed","Fri May 15 19:17:57 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка корректности данных, возвращаемых при создании проекта","700","Создание проекта: проверка полей title и code","Surefire suite","Fri May 15 19:20:49 UTC 2026","passed","Fri May 15 19:20:49 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","240","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri May 15 19:20:54 UTC 2026","passed","Fri May 15 19:20:54 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","1463","Удаление тест-кейса","Surefire suite","Fri May 15 19:20:56 UTC 2026","passed","Fri May 15 19:20:57 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1308","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri May 15 19:21:08 UTC 2026","passed","Fri May 15 19:21:09 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","46544","Создание тест-кейса с разными входными данными","Surefire suite","Fri May 15 19:18:26 UTC 2026","passed","Fri May 15 19:19:13 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1929","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri May 15 19:21:05 UTC 2026","passed","Fri May 15 19:21:07 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка позитивного сценария добавления тест-кейса в проект.","1027","Создание тест-кейса и получение его по id","Surefire suite","Fri May 15 19:20:54 UTC 2026","passed","Fri May 15 19:20:55 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","241","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri May 15 19:20:53 UTC 2026","passed","Fri May 15 19:20:53 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
