"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1566","Удаление тест-кейса","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"","29500","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","259","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","14340","createTestSuite","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","25405","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2140","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","7623","Фильтрация тест-кейсов по типу ","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1432","Обновление тест-кейса: PATCH, поле type","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","27598","Создание тест-кейса с разными входными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","334","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка успешного удаления проекта и его недоступности после удаления.","1029","Удаление проекта","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","16818","Создание тест-кейса через UI","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","739","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка корректности данных, возвращаемых при создании проекта","715","Создание проекта: проверка полей title и code","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка позитивного сценария создания проекта","22882","Создание проекта и его удаление","Surefire suite","2026-09-14","passed","2026-09-14","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка позитивного сценария добавления тест-кейса в проект.","1189","Создание тест-кейса и получение его по id","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного создания проекта и возможности получить его по коду.","714","Создание проекта","Surefire suite","2026-09-14","passed","2026-09-14","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","121419","Создание проекта без названия: проверка ошибки","Surefire suite","2026-09-14","failed","2026-09-14","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
