"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1644","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Jan 30 08:01:07 UTC 2026","passed","Fri Jan 30 08:01:09 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"Проверка корректности данных, возвращаемых при создании проекта","579","Создание проекта: проверка полей title и code","Surefire suite","Fri Jan 30 08:01:12 UTC 2026","passed","Fri Jan 30 08:01:13 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","620","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Jan 30 08:01:15 UTC 2026","passed","Fri Jan 30 08:01:15 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"Проверка позитивного сценария добавления тест-кейса в проект.","1567","Создание тест-кейса и получение его по id","Surefire suite","Fri Jan 30 08:00:56 UTC 2026","passed","Fri Jan 30 08:00:58 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"","1269","Удаление тест-кейса","Surefire suite","Fri Jan 30 08:00:59 UTC 2026","passed","Fri Jan 30 08:01:00 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","6700","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Jan 30 08:01:00 UTC 2026","passed","Fri Jan 30 08:01:07 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка позитивного сценария создания проекта","22724","Создание проекта и его удаление","Surefire suite","Fri Jan 30 08:02:44 UTC 2026","passed","Fri Jan 30 08:03:07 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка успешного удаления проекта и его недоступности после удаления.","771","Удаление проекта","Surefire suite","Fri Jan 30 08:01:13 UTC 2026","passed","Fri Jan 30 08:01:14 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"","30872","createTestSuite","Surefire suite","Fri Jan 30 08:03:19 UTC 2026","passed","Fri Jan 30 08:03:50 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1086","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Jan 30 08:01:09 UTC 2026","passed","Fri Jan 30 08:01:11 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"","14575","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 08:01:49 UTC 2026","failed","Fri Jan 30 08:02:03 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","24375","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 08:02:04 UTC 2026","passed","Fri Jan 30 08:02:28 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","174","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Jan 30 08:01:16 UTC 2026","passed","Fri Jan 30 08:01:16 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","31646","Создание тест-кейса через UI","Surefire suite","Fri Jan 30 08:01:17 UTC 2026","passed","Fri Jan 30 08:01:48 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","11639","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Jan 30 08:03:07 UTC 2026","passed","Fri Jan 30 08:03:19 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"Проверка успешного создания проекта и возможности получить его по коду.","613","Создание проекта","Surefire suite","Fri Jan 30 08:01:11 UTC 2026","passed","Fri Jan 30 08:01:12 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","14561","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 08:02:29 UTC 2026","failed","Fri Jan 30 08:02:43 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","161","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Jan 30 08:01:16 UTC 2026","passed","Fri Jan 30 08:01:16 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
