"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","7205","Фильтрация тест-кейсов по типу ","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","28405","Создание тест-кейса через UI","Surefire suite","2026-06-19","failed","2026-06-19","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","251","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","46493","Создание тест-кейса с разными входными данными","Surefire suite","2026-06-19","passed","2026-06-19","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","16421","Создание проекта без названия: проверка ошибки","Surefire suite","2026-06-19","passed","2026-06-19","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","76190","createTestSuite","Surefire suite","2026-06-19","failed","2026-06-19","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка позитивного сценария добавления тест-кейса в проект.","1250","Создание тест-кейса и получение его по id","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка успешного создания проекта и возможности получить его по коду.","1188","Создание проекта","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","44371","Создание тест-кейса с разными входными данными","Surefire suite","2026-06-19","passed","2026-06-19","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка позитивного сценария создания проекта","33442","Создание проекта и его удаление","Surefire suite","2026-06-19","passed","2026-06-19","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","11463","Удаление тест-кейса","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка успешного удаления проекта и его недоступности после удаления.","1011","Удаление проекта","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка корректности данных, возвращаемых при создании проекта","785","Создание проекта: проверка полей title и code","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","1350","Обновление тест-кейса: PATCH, поле type","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","246","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка корректного увеличения количества тест-кейсов в проекте.","1914","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
"","43183","Создание тест-кейса с разными входными данными","Surefire suite","2026-06-19","passed","2026-06-19","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","794","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
