"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного создания проекта","932","Создание нового проекта","Surefire suite","Mon Jan 12 13:27:33 UTC 2026","passed","Mon Jan 12 13:27:34 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"","107496","createTestSuite","Surefire suite","Mon Jan 12 13:36:40 UTC 2026","failed","Mon Jan 12 13:38:27 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"","65774","Создание тест-кейса с разными входными данными","Surefire suite","Mon Jan 12 13:31:10 UTC 2026","failed","Mon Jan 12 13:32:15 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","1127","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Mon Jan 12 13:27:35 UTC 2026","passed","Mon Jan 12 13:27:36 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithDuplicateCode"
"Проверка успешного удаления проекта","1098","Удаление проекта","Surefire suite","Mon Jan 12 13:27:38 UTC 2026","passed","Mon Jan 12 13:27:39 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkDeleteProject"
"Проверка корректной фильтрации ","9132","Фильтрация тест-кейсов по типу ","Surefire suite","Mon Jan 12 13:27:20 UTC 2026","passed","Mon Jan 12 13:27:29 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkFilterCase"
"Проверка позитивного сценария создания проекта","65465","Создание проекта и его удаление","Surefire suite","Mon Jan 12 13:34:28 UTC 2026","failed","Mon Jan 12 13:35:33 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","67204","Создание тест-кейса с разными входными данными","Surefire suite","Mon Jan 12 13:28:56 UTC 2026","failed","Mon Jan 12 13:30:03 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"","65100","Создание тест-кейса с разными входными данными","Surefire suite","Mon Jan 12 13:30:04 UTC 2026","failed","Mon Jan 12 13:31:09 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка метод Patch","1899","Обновление тест-кейса","Surefire suite","Mon Jan 12 13:27:30 UTC 2026","passed","Mon Jan 12 13:27:32 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkUpdateCase"
"Проверка корректности данных, возвращаемых при создании проекта","1249","Создание проекта: проверка корректности полей title и code","Surefire suite","Mon Jan 12 13:27:40 UTC 2026","passed","Mon Jan 12 13:27:41 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","274","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Mon Jan 12 13:27:37 UTC 2026","passed","Mon Jan 12 13:27:37 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"Проверка позитивного сценария добавления тест-кейса в проект.","1514","Добавление нового тест-кейса в существующий проект","Surefire suite","Mon Jan 12 13:27:14 UTC 2026","passed","Mon Jan 12 13:27:16 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","72977","Создание тест-кейса через UI","Surefire suite","Mon Jan 12 13:27:42 UTC 2026","failed","Mon Jan 12 13:28:54 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка, что при создании проекта без обязательного поля Title сервер корректно возвращает ошибку (status=false, code=400).","221","Создание проекта без обязательного поля Title должно вернуть ошибку 400","Surefire suite","Mon Jan 12 13:27:37 UTC 2026","passed","Mon Jan 12 13:27:38 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"Проверка количеств тест-кейсов у проекта","2471","Добавление несколько тест-кейсов к проекту и определение количества кейсов у проекта","Surefire suite","Mon Jan 12 13:27:17 UTC 2026","passed","Mon Jan 12 13:27:20 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCountCase"
"","5411","Создание проекта без названия: проверка ошибки","Surefire suite","Mon Jan 12 13:36:34 UTC 2026","passed","Mon Jan 12 13:36:39 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
