"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Tests","0","","4","0","","0"
"1","UI Tests","2","","3","0","","0"
"0","","0","","1","0","","0"
